date,open,high,low,close,CJL,PE,PB,MC
2018-06-25,36.9,37.9,36.62,36.83,"3,205,587",28.339,7.213,"1,979,980.80"
2018-06-26,35.59,38.36,35.59,38.32,"3,765,383",29.486,7.505,"2,060,083.20"
2018-06-27,38.33,38.85,37.58,37.62,"2,047,100",28.947,7.367,"2,022,451.20"
2018-06-28,38.0,38.18,37.31,37.46,"2,327,960",28.824,7.336,"2,013,849.60"
2018-06-29,37.47,39.05,37.47,38.87,"3,192,230",29.909,7.612,"2,089,651.20"
2018-07-02,38.88,38.9,37.6,37.99,"2,782,722",29.232,7.44,"2,042,342.40"
2018-07-03,37.81,38.95,37.31,38.65,"3,270,068",29.74,7.569,"2,077,824.00"
2018-07-04,38.55,38.6,37.33,37.66,"1,984,130",28.978,7.375,"2,024,601.60"
2018-07-05,37.59,38.15,36.99,37.0,"1,695,576",28.47,7.246,"1,989,120.00"
2018-07-06,36.88,38.2,36.66,37.41,"2,857,717",28.786,7.326,"2,011,161.60"
2018-07-09,37.45,38.14,37.45,38.06,"2,274,878",29.286,7.454,"2,046,105.60"
2018-07-10,38.06,38.06,37.3,37.66,"2,053,857",28.978,7.375,"2,024,601.60"
2018-07-11,37.0,37.0,35.84,36.12,"2,949,557",27.793,7.074,"1,941,811.20"
2018-07-12,36.12,37.95,36.11,37.4,"3,173,427",28.778,7.324,"2,010,624.00"
2018-07-13,37.4,37.84,37.34,37.63,"1,881,261",28.955,7.369,"2,022,988.80"
2018-07-16,37.45,37.78,37.2,37.43,"1,571,596",28.801,7.33,"2,012,236.80"
2018-07-17,37.27,37.45,36.74,37.26,"1,703,185",28.67,7.297,"2,003,097.60"
2018-07-18,37.26,37.77,36.66,36.7,"2,095,286",28.239,7.187,"1,972,992.00"
2018-07-19,36.7,36.81,36.07,36.2,"1,778,923",27.855,7.089,"1,946,112.00"
2018-07-20,36.22,37.41,36.13,37.0,"2,280,125",28.47,7.246,"1,989,120.00"
2018-07-23,36.75,37.78,36.3,37.7,"3,003,381",29.009,7.383,"2,026,752.00"
2018-07-24,37.71,41.47,37.45,41.06,"10,703,901",31.594,8.041,"2,207,385.60"
2018-07-25,39.87,40.9,39.7,39.87,"5,952,895",30.679,7.808,"2,143,411.20"
2018-07-26,40.0,40.23,39.12,39.36,"3,165,625",30.286,7.708,"2,115,993.60"
2018-07-27,39.3,39.74,38.78,39.06,"2,297,727",30.055,7.649,"2,099,865.60"
2018-07-30,39.09,39.36,38.02,38.32,"2,478,291",29.486,7.505,"2,060,083.20"
2018-07-31,38.38,38.97,38.38,38.61,"1,973,440",29.709,7.561,"2,075,673.60"
2018-08-01,38.67,39.87,38.33,38.52,"2,815,148",29.64,7.544,"2,070,835.20"
2018-08-02,38.02,38.36,36.51,37.56,"3,045,712",28.901,7.356,"2,019,225.60"
2018-08-03,37.78,38.1,37.2,37.32,"1,893,510",28.717,7.309,"2,006,323.20"
2018-08-06,37.31,38.02,36.72,37.25,"2,169,240",28.663,7.295,"2,002,560.00"
2018-08-07,37.3,39.6,37.17,38.84,"3,744,204",29.886,7.606,"2,088,038.40"
2018-08-08,38.56,38.84,36.88,37.3,"3,489,949",28.701,7.305,"2,005,248.00"
2018-08-09,37.4,38.77,37.25,38.18,"3,597,941",29.378,7.477,"2,052,556.80"
2018-08-10,38.0,38.85,37.92,38.25,"2,848,612",29.432,7.491,"2,056,320.00"
2018-08-13,37.8,38.9,37.18,38.6,"3,182,019",29.701,7.559,"2,075,136.00"
2018-08-14,38.04,38.68,37.91,38.07,"1,956,600",29.294,7.456,"2,046,643.20"
2018-08-15,37.9,38.27,37.0,37.2,"2,635,293",28.624,7.285,"1,999,872.00"
2018-08-16,36.81,38.24,36.55,37.47,"2,719,735",28.832,7.338,"2,014,387.20"
2018-08-17,37.72,37.97,36.55,36.72,"2,243,878",28.255,7.191,"1,974,067.20"
2018-08-20,36.63,37.36,36.58,37.27,"1,822,400",28.678,7.299,"2,003,635.20"
2018-08-21,37.3,37.75,37.01,37.52,"2,345,775",32.0,7.001,"2,017,075.20"
2018-08-22,37.35,37.66,36.95,36.95,"1,585,901",31.513,6.895,"1,986,432.00"
2018-08-23,37.09,38.4,36.98,37.69,"3,542,016",32.145,7.033,"2,026,214.40"
2018-08-24,37.3,38.43,37.3,38.14,"3,062,585",32.528,7.117,"2,050,406.40"
2018-08-27,38.1,39.1,38.01,38.72,"3,953,987",33.023,7.225,"2,081,587.20"
2018-08-28,38.52,38.97,38.11,38.4,"2,563,008",32.75,7.165,"2,064,384.00"
2018-08-29,38.3,38.5,38.02,38.29,"1,510,569",32.656,7.145,"2,058,470.40"
2018-08-30,38.35,38.43,37.3,37.31,"2,593,291",31.82,6.962,"2,005,785.60"
2018-08-31,37.25,37.6,37.02,37.23,"1,639,710",31.752,6.947,"2,001,484.80"
2018-09-03,37.02,37.74,37.0,37.69,"1,864,544",32.145,7.033,"2,026,214.40"
2018-09-04,37.6,38.21,37.36,37.91,"2,404,097",32.332,7.074,"2,038,041.60"
2018-09-05,37.65,37.91,37.08,37.11,"1,943,900",31.65,6.924,"1,995,033.60"
2018-09-06,36.88,37.7,36.7,37.12,"1,771,891",31.658,6.926,"1,995,571.20"
2018-09-07,37.32,37.8,36.88,37.11,"2,068,829",31.65,6.924,"1,995,033.60"
2018-09-10,36.96,37.28,33.5,34.53,"4,978,350",29.45,6.443,"1,856,332.80"
2018-09-11,33.85,34.5,33.55,34.07,"2,757,771",29.057,6.357,"1,831,603.20"
2018-09-12,34.4,34.66,33.94,34.36,"1,378,399",29.305,6.411,"1,847,193.60"
2018-09-13,34.74,34.94,34.37,34.65,"1,390,787",29.552,6.465,"1,862,784.00"
2018-09-14,34.8,34.85,34.2,34.34,"1,665,947",29.287,6.408,"1,846,118.40"
2018-09-17,34.29,34.29,33.62,33.91,"1,229,293",28.921,6.327,"1,823,001.60"
2018-09-18,34.19,34.47,33.7,34.37,"1,522,581",29.313,6.413,"1,847,731.20"
2018-09-19,34.2,35.16,34.15,34.87,"2,328,710",29.739,6.506,"1,874,611.20"
2018-09-20,34.77,34.83,34.41,34.48,"1,417,073",29.407,6.434,"1,853,644.80"
2018-09-21,34.64,35.68,34.31,35.09,"2,440,260",29.927,6.548,"1,886,438.40"
2018-09-25,34.7,34.86,34.52,34.73,"1,575,825",29.62,6.48,"1,867,084.80"
2018-09-26,34.7,35.3,34.55,34.88,"2,120,382",29.748,6.508,"1,875,148.80"
2018-09-27,34.79,34.88,34.3,34.34,"1,732,376",29.287,6.408,"1,846,118.40"
2018-09-28,34.34,34.78,34.34,34.53,"1,446,894",29.45,6.443,"1,856,332.80"
2018-10-08,33.99,34.3,33.43,33.5,"2,002,278",28.571,6.251,"1,800,960.00"
2018-10-09,33.68,33.89,33.45,33.61,"901,978",28.665,6.271,"1,806,873.60"
2018-10-10,33.88,34.2,33.52,33.8,"1,080,622",28.827,6.307,"1,817,088.00"
2018-10-11,32.0,32.69,30.42,30.56,"3,376,845",26.064,5.702,"1,642,905.60"
2018-10-12,29.9,30.5,28.48,29.88,"3,386,119",25.484,5.575,"1,606,348.80"
2018-10-15,29.9,30.3,28.61,29.04,"1,952,972",24.767,5.419,"1,561,190.40"
2018-10-16,29.33,29.77,28.53,28.8,"1,691,311",24.563,5.374,"1,548,288.00"
2018-10-17,29.02,31.0,29.02,30.89,"4,026,389",26.345,5.764,"1,660,646.40"
2018-10-18,30.6,31.12,30.08,30.68,"3,235,346",26.166,5.725,"1,649,356.80"
2018-10-19,30.1,33.75,30.03,33.09,"8,586,803",28.221,6.174,"1,778,918.40"
2018-10-22,33.75,36.4,33.09,36.4,"11,344,729",31.044,6.792,"1,956,864.00"
2018-10-23,36.7,36.75,34.66,35.37,"8,939,301",30.166,6.6,"1,901,491.20"
2018-10-24,35.0,36.31,34.76,35.55,"5,669,145",30.319,6.633,"1,911,168.00"
2018-10-25,33.82,37.99,33.57,37.21,"7,264,667",31.735,6.943,"2,000,409.60"
2018-10-26,37.11,37.66,36.09,36.3,"5,260,076",34.05,6.448,"1,951,488.00"
2018-10-29,36.35,39.32,36.35,37.88,"7,255,247",35.532,6.729,"2,036,428.80"
2018-10-30,38.0,41.67,37.05,40.06,"13,618,109",37.577,7.116,"2,153,625.60"
2018-10-31,39.51,39.87,38.16,39.05,"8,084,181",36.629,6.937,"2,099,328.00"
2018-11-01,39.15,42.18,38.36,38.86,"10,629,208",36.451,6.903,"2,089,113.60"
2018-11-02,39.99,40.6,39.0,39.36,"7,943,651",36.92,6.992,"2,115,993.60"
2018-11-05,39.35,39.8,38.43,39.26,"5,205,942",36.826,6.974,"2,110,617.60"
2018-11-06,39.11,40.2,38.21,39.93,"6,240,164",37.455,7.093,"2,146,636.80"
2018-11-07,40.05,40.05,39.13,39.28,"4,559,757",36.845,6.978,"2,111,692.80"
2018-11-08,39.99,40.99,38.5,38.8,"6,035,943",36.395,6.892,"2,085,888.00"
2018-11-09,38.7,39.2,38.31,38.42,"3,827,711",36.038,6.825,"2,065,459.20"
2018-11-12,38.41,40.17,38.13,39.95,"6,219,478",37.473,7.097,"2,147,712.00"
2018-11-13,39.3,41.5,39.3,40.5,"7,215,197",37.989,7.194,"2,177,280.00"
2018-11-14,40.31,41.66,40.2,40.6,"5,166,427",38.083,7.212,"2,182,656.00"
2018-11-15,40.0,44.3,39.66,43.78,"10,897,723",41.066,7.777,"2,353,612.80"
2018-11-16,43.0,46.84,42.88,44.1,"9,693,454",41.366,7.834,"2,370,816.00"
2018-11-19,44.38,45.7,43.56,45.1,"6,204,777",42.304,8.012,"2,424,576.00"
2018-11-20,45.0,45.0,42.28,42.83,"8,425,064",40.175,7.608,"2,302,540.80"
2018-11-21,42.07,43.55,42.0,43.1,"4,608,930",40.428,7.656,"2,317,056.00"
2018-11-22,43.45,43.48,41.5,42.2,"3,952,876",39.584,7.496,"2,268,672.00"
2018-11-23,42.13,42.68,41.18,41.62,"5,222,737",39.04,7.393,"2,237,491.20"
2018-11-26,41.58,42.2,41.05,41.7,"2,859,681",39.115,7.408,"2,241,792.00"
2018-11-27,41.99,43.4,41.98,43.06,"4,517,636",40.391,7.649,"2,314,905.60"
2018-11-28,43.05,44.7,42.6,43.93,"4,290,855",41.207,7.804,"2,361,676.80"
2018-11-29,44.85,44.88,41.85,42.0,"4,204,418",39.396,7.461,"2,257,920.00"
2018-11-30,41.81,42.89,41.61,42.69,"2,813,926",40.044,7.583,"2,295,014.40"
2018-12-03,44.55,45.6,43.37,43.87,"5,083,562",41.15,7.793,"2,358,451.20"
2018-12-04,43.76,44.13,42.9,43.6,"2,714,748",40.897,7.745,"2,343,936.00"
2018-12-05,42.25,43.28,42.11,42.92,"2,345,459",40.259,7.624,"2,307,379.20"
2018-12-06,42.75,42.75,40.65,41.25,"3,419,418",38.693,7.328,"2,217,600.00"
2018-12-07,41.77,42.2,41.55,42.2,"2,312,445",39.584,7.496,"2,268,672.00"
2018-12-10,42.0,42.6,41.71,42.28,"1,787,582",39.659,7.511,"2,272,972.80"
2018-12-11,42.32,42.63,41.78,42.5,"1,904,638",39.865,7.55,"2,284,800.00"
2018-12-12,42.66,43.19,42.24,42.37,"1,704,992",39.743,7.527,"2,277,811.20"
2018-12-13,42.69,43.5,42.0,42.92,"2,596,369",40.259,7.624,"2,307,379.20"
2018-12-14,42.7,42.81,41.82,41.85,"2,104,469",39.256,7.434,"2,249,856.00"
2018-12-17,41.5,42.17,41.28,41.69,"1,953,000",39.106,7.406,"2,241,254.40"
2018-12-18,41.69,41.71,38.6,39.6,"4,165,001",37.145,7.035,"2,128,896.00"
2018-12-19,39.98,40.25,38.88,39.06,"2,522,603",36.639,6.939,"2,099,865.60"
2018-12-20,39.05,39.8,38.88,39.4,"2,451,569",36.958,6.999,"2,118,144.00"
2018-12-21,39.01,39.7,38.02,38.86,"3,061,645",36.451,6.903,"2,089,113.60"
2018-12-24,38.86,39.5,38.61,39.42,"2,249,645",36.976,7.003,"2,119,219.20"
2018-12-25,39.1,39.29,37.5,38.65,"3,603,611",36.254,6.866,"2,077,824.00"
2018-12-26,38.74,38.8,38.01,38.14,"1,653,139",35.776,6.775,"2,050,406.40"
2018-12-27,39.3,39.5,37.72,37.89,"3,167,232",35.541,6.731,"2,036,966.40"
2018-12-28,37.97,38.76,37.6,38.2,"2,287,890",35.832,6.786,"2,053,632.00"
2019-01-02,38.2,38.4,36.6,38.22,"3,072,286",35.851,6.789,"2,054,707.20"
2019-01-03,38.2,39.8,38.14,38.58,"3,576,609",36.188,6.853,"2,074,060.80"
2019-01-04,38.16,42.05,37.72,41.5,"6,721,144",38.927,7.372,"2,231,040.00"
2019-01-07,41.75,43.5,41.08,42.17,"6,537,879",39.556,7.491,"2,267,059.20"
2019-01-08,41.92,42.63,41.6,41.85,"3,114,496",39.256,7.434,"2,249,856.00"
2019-01-09,41.85,42.6,41.3,41.35,"3,958,417",38.787,7.345,"2,222,976.00"
2019-01-10,41.31,41.96,40.57,41.48,"2,504,992",38.909,7.369,"2,229,964.80"
2019-01-11,41.7,41.95,41.23,41.6,"1,747,922",39.021,7.39,"2,236,416.00"
2019-01-14,41.85,41.9,41.4,41.46,"1,788,950",38.89,7.365,"2,228,889.60"
2019-01-15,41.45,42.93,41.45,42.88,"3,540,167",40.222,7.617,"2,305,228.80"
2019-01-16,44.65,45.0,42.15,42.24,"5,505,332",39.622,7.504,"2,270,822.40"
2019-01-17,42.01,42.79,41.69,41.79,"2,298,652",39.199,7.424,"2,246,630.40"
2019-01-18,41.93,42.9,41.93,42.8,"2,778,700",40.147,7.603,"2,300,928.00"
2019-01-21,42.89,43.41,42.18,42.89,"2,477,892",40.231,7.619,"2,305,766.40"
2019-01-22,42.91,43.2,41.4,41.8,"2,202,608",39.209,7.425,"2,247,168.00"
2019-01-23,41.99,42.5,41.62,42.25,"1,900,545",39.631,7.505,"2,271,360.00"
2019-01-24,42.26,43.45,42.13,43.03,"3,727,512",40.363,7.644,"2,313,292.80"
2019-01-25,42.95,43.55,42.8,42.9,"2,420,244",40.241,7.621,"2,306,304.00"
2019-01-28,43.49,44.11,42.7,42.96,"2,697,508",40.297,7.631,"2,309,529.60"
2019-01-29,42.39,42.8,40.94,42.43,"3,064,977",39.8,7.537,"2,281,036.80"
2019-01-30,42.21,42.5,41.43,41.44,"2,096,112",38.871,7.361,"2,227,814.40"
2019-01-31,41.65,44.34,41.65,42.78,"5,435,895",40.128,7.599,"2,299,852.80"
2019-02-01,43.17,44.1,42.76,43.7,"4,653,704",40.991,7.763,"2,349,312.00"
2019-02-11,45.12,46.75,44.8,46.29,"10,463,277",43.42,8.223,"2,488,550.40"
2019-02-12,46.28,48.58,45.9,48.09,"9,813,222",45.109,8.543,"2,585,318.40"
2019-02-13,48.1,52.9,47.58,52.56,"13,740,713",49.302,9.337,"2,825,625.60"
2019-02-14,52.4,52.91,51.0,52.0,"8,358,921",48.777,9.237,"2,795,520.00"
2019-02-15,51.98,53.38,50.9,51.85,"7,751,308",48.636,9.211,"2,787,456.00"
2019-02-18,52.3,56.95,52.25,56.93,"10,861,693",53.401,10.113,"3,060,556.80"
2019-02-19,57.0,62.0,56.0,58.8,"15,869,953",55.155,10.445,"3,161,088.00"
2019-02-20,58.62,61.44,57.77,60.51,"12,229,410",56.759,10.749,"3,253,017.60"
2019-02-21,60.03,65.0,60.03,62.39,"16,051,220",58.522,11.083,"3,354,086.40"
2019-02-22,62.5,68.63,60.6,68.63,"20,688,716",64.376,12.191,"3,689,548.80"
2019-02-25,75.0,75.49,72.51,75.49,"13,736,977",70.81,13.41,"4,058,342.40"
2019-02-26,80.78,83.04,77.6,77.81,"30,104,253",65.986,12.525,"4,183,065.60"
2019-02-27,77.0,79.7,73.2,76.45,"22,434,646",64.832,12.306,"4,109,952.00"
2019-02-28,76.5,77.3,70.06,75.7,"16,004,013",64.196,12.185,"4,069,632.00"
2019-03-01,76.4,82.86,75.07,81.0,"20,024,018",68.691,13.038,"4,354,560.00"
2019-03-04,82.0,88.19,78.98,82.53,"21,129,911",69.989,13.284,"4,436,812.80"
2019-03-05,79.86,83.68,79.12,82.97,"12,928,149",70.362,13.355,"4,460,467.20"
2019-03-06,81.5,88.6,81.39,87.5,"19,126,277",74.203,14.084,"4,704,000.00"
2019-03-07,86.0,92.19,83.52,86.22,"21,323,416",73.118,13.878,"4,635,187.20"
2019-03-08,80.0,86.99,79.18,81.9,"18,365,193",69.454,13.183,"4,402,944.00"
2019-03-11,80.88,83.98,77.56,82.32,"14,597,879",69.81,13.251,"4,425,523.20"
2019-03-12,82.7,90.55,82.1,90.55,"24,894,223",76.79,14.575,"4,867,968.00"
2019-03-13,93.0,96.36,86.7,88.0,"21,742,351",74.627,14.165,"4,730,880.00"
2019-03-14,85.02,88.15,79.37,82.9,"15,126,094",70.302,13.344,"4,456,704.00"
